rowNumber,sourceGroup,provider,dataset,file,bytes,coverage,confidence,theme,roiScore,duplicateGroupSize,recommendedAction,recommendedPlacement,needsUserDecision,iaItem,rawViewport,cleanedBundle,evidence,url,raw
384,data.gov.ie,Fingal County Council,tennis-courts-fcc,shapefile,4927,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\tennis-courts-fcc\shapefile
385,data.gov.ie,Fingal County Council,toucan-pedestrian-crossing-2022-fcc1,shapefile,10054,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\toucan-pedestrian-crossing-2022-fcc1\shapefile
386,data.gov.ie,Fingal County Council,toucan-pedestrian-crossing-2023-fcc1,shapefile,8372,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\toucan-pedestrian-crossing-2023-fcc1\shapefile
387,data.gov.ie,Fingal County Council,toucan-pedestrian-crossings-2024-fcc1,shapefile,8394,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\toucan-pedestrian-crossings-2024-fcc1\shapefile
388,data.gov.ie,Fingal County Council,tourist-information-offices-fcc,shapefile,5176,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\tourist-information-offices-fcc\shapefile
389,data.gov.ie,Fingal County Council,townlands-in-fcc3,shapefile,2097466,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\townlands-in-fcc3\shapefile
390,data.gov.ie,Fingal County Council,townlandsfcc2,shapefile,2097050,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\townlandsfcc2\shapefile
391,data.gov.ie,Fingal County Council,traffic-cameras-fcc3,shapefile,4575,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\traffic-cameras-fcc3\shapefile
392,data.gov.ie,Fingal County Council,traffic-lights-fcc1,shapefile,6363,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\traffic-lights-fcc1\shapefile
393,data.gov.ie,Fingal County Council,trees-fcc2,shapefile,1878152,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\trees-fcc2\shapefile
394,data.gov.ie,Fingal County Council,weather-stations-fcc2,shapefile,8375,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\weather-stations-fcc2\shapefile
395,data.gov.ie,Fingal County Council,weee-recycling-centres-fcc3,shapefile,5702,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\weee-recycling-centres-fcc3\shapefile
396,data.gov.ie,Fingal County Council,zebra-crossings-fcc4,shapefile,6015,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\zebra-crossings-fcc4\shapefile
397,data.gov.ie,Fingal County Council,zoned-areas-for-pay-display-residential-areas-fcc2,shapefile,10118,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Fingal County Council\zoned-areas-for-pay-display-residential-areas-fcc2\shapefile
398,data.gov.ie,Galway City Council,accessibleparkingbays2,shapefile,4418,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\accessibleparkingbays2\shapefile
399,data.gov.ie,Galway City Council,agriculture-a,shapefile,45210,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\agriculture-a\shapefile
400,data.gov.ie,Galway City Council,agriculture-and-high-amenity-g,shapefile,52792,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\agriculture-and-high-amenity-g\shapefile
401,data.gov.ie,Galway City Council,architectural-conservation-areas,shapefile,9183,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\architectural-conservation-areas\shapefile
402,data.gov.ie,Galway City Council,architectural-conservation-areas-in-galway-city2,shapefile,10177,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\architectural-conservation-areas-in-galway-city2\shapefile
403,data.gov.ie,Galway City Council,ardaun-urban-village-centre,shapefile,2946,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\ardaun-urban-village-centre\shapefile
404,data.gov.ie,Galway City Council,artsfacilitiesopendata3,shapefile,3696,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\artsfacilitiesopendata3\shapefile
405,data.gov.ie,Galway City Council,basketballcourtsopendata3,shapefile,1656,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\basketballcourtsopendata3\shapefile
406,data.gov.ie,Galway City Council,beachesopendata3,shapefile,1528,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\beachesopendata3\shapefile
407,data.gov.ie,Galway City Council,bluebadgeparkingopendata3,shapefile,7856,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\bluebadgeparkingopendata3\shapefile
408,data.gov.ie,Galway City Council,bus-coach-facilities,shapefile,1410,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\bus-coach-facilities\shapefile
409,data.gov.ie,Galway City Council,bus-routes-gts,shapefile,6741,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\bus-routes-gts\shapefile
410,data.gov.ie,Galway City Council,car-parking,shapefile,1272,confirmed-source-or-download-record,high,heritage-public-assets,20,1,already-source-on-site-review-interactive-value,keep source record; consider conversion only if geometry adds high-value interactive use,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,source-detail:approved-publication:source-doc-05969-multi-story-car-parking-space-availability,,Galway City Council\car-parking\shapefile
411,data.gov.ie,Galway City Council,carparkingopendata3,shapefile,2683,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\carparkingopendata3\shapefile
412,data.gov.ie,Galway City Council,cemeteriesopendata3,shapefile,1521,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\cemeteriesopendata3\shapefile
413,data.gov.ie,Galway City Council,city-centre-cc,shapefile,40688,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\city-centre-cc\shapefile
414,data.gov.ie,Galway City Council,cityboundary2,shapefile,33374,not-found-in-site-manifests,none,administrative-boundaries,95,1,new-interactive-map-candidate-high-priority,Browse maps plus MapLibre conversion after geometry validation,no,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only for generated PMTiles/metadata after conversion; raw file stays IA-hotlinked,,,Galway City Council\cityboundary2\shapefile
415,data.gov.ie,Galway City Council,cityparksopendata3,shapefile,27691,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\cityparksopendata3\shapefile
416,data.gov.ie,Galway City Council,community-cultural-and-institutional-cf,shapefile,55484,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\community-cultural-and-institutional-cf\shapefile
417,data.gov.ie,Galway City Council,cycle-lanes5,shapefile,6175,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\cycle-lanes5\shapefile
418,data.gov.ie,Galway City Council,enterprise-industry-and-related-uses-i,shapefile,23502,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\enterprise-industry-and-related-uses-i\shapefile
419,data.gov.ie,Galway City Council,enterprise-light-industry-and-commerical-ci,shapefile,41421,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\enterprise-light-industry-and-commerical-ci\shapefile
420,data.gov.ie,Galway City Council,enterprise-parks-and-industrial-estates-opendata3,shapefile,3602,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\enterprise-parks-and-industrial-estates-opendata3\shapefile
421,data.gov.ie,Galway City Council,existing-woodlands,shapefile,66247,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\existing-woodlands\shapefile
422,data.gov.ie,Galway City Council,galway-city-community-centre-locations2,shapefile,1431,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\galway-city-community-centre-locations2\shapefile
423,data.gov.ie,Galway City Council,galway-city-electoral-divisions,shapefile,173756,probable-interactive-or-geospatial,medium,electoral-geography,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,map-detail:eds-connacht-1994,,Galway City Council\galway-city-electoral-divisions\shapefile
424,data.gov.ie,Galway City Council,galway-city-polling-districts-opendata3,shapefile,55526,not-found-in-site-manifests,none,electoral-geography,95,1,new-interactive-map-candidate-high-priority,Browse maps plus MapLibre conversion after geometry validation,no,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only for generated PMTiles/metadata after conversion; raw file stays IA-hotlinked,,,Galway City Council\galway-city-polling-districts-opendata3\shapefile
425,data.gov.ie,Galway City Council,galwaycitypollingstationsopendata3,shapefile,3159,not-found-in-site-manifests,none,electoral-geography,95,1,new-interactive-map-candidate-high-priority,Browse maps plus MapLibre conversion after geometry validation,no,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only for generated PMTiles/metadata after conversion; raw file stays IA-hotlinked,,,Galway City Council\galwaycitypollingstationsopendata3\shapefile
426,data.gov.ie,Galway City Council,indicative-greenway-cycle-network,shapefile,8035,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\indicative-greenway-cycle-network\shapefile
427,data.gov.ie,Galway City Council,librariesopendata3,shapefile,1780,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\librariesopendata3\shapefile
428,data.gov.ie,Galway City Council,local-area-plan-for-murrough-lap,shapefile,3379,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\local-area-plan-for-murrough-lap\shapefile
429,data.gov.ie,Galway City Council,local-centres,shapefile,1464,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\local-centres\shapefile
430,data.gov.ie,Galway City Council,low-density-residential-ldr,shapefile,43177,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\low-density-residential-ldr\shapefile
431,data.gov.ie,Galway City Council,motorcycle-parking,shapefile,1347,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\motorcycle-parking\shapefile
432,data.gov.ie,Galway City Council,n6-galway-city-ring-road-n6-gcrr,shapefile,24894,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\n6-galway-city-ring-road-n6-gcrr\shapefile
433,data.gov.ie,Galway City Council,new-bridge,shapefile,1364,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\new-bridge\shapefile
434,data.gov.ie,Galway City Council,new-roads,shapefile,2912,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\new-roads\shapefile
435,data.gov.ie,Galway City Council,parkingmeters-opendata3,shapefile,3884,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\parkingmeters-opendata3\shapefile
436,data.gov.ie,Galway City Council,planners-areas-for-galway-city,shapefile,9421,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\planners-areas-for-galway-city\shapefile
437,data.gov.ie,Galway City Council,playgrounds-in-galway-city3,shapefile,2931,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\playgrounds-in-galway-city3\shapefile
438,data.gov.ie,Galway City Council,primary-cycle-network,shapefile,7717,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\primary-cycle-network\shapefile
439,data.gov.ie,Galway City Council,proposed-woodlands,shapefile,24550,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\proposed-woodlands\shapefile
440,data.gov.ie,Galway City Council,public-transportation-corridor,shapefile,2723,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\public-transportation-corridor\shapefile
441,data.gov.ie,Galway City Council,publicvisitorattractionsopendata3,shapefile,1801,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\publicvisitorattractionsopendata3\shapefile
442,data.gov.ie,Galway City Council,publicwcsopendata3,shapefile,2198,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\publicwcsopendata3\shapefile
443,data.gov.ie,Galway City Council,ra-greenways,shapefile,12742,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\ra-greenways\shapefile
444,data.gov.ie,Galway City Council,record-of-protected-structures2,shapefile,246993,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\record-of-protected-structures2\shapefile
445,data.gov.ie,Galway City Council,recreation-and-amenity-ra,shapefile,276421,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\recreation-and-amenity-ra\shapefile
446,data.gov.ie,Galway City Council,recyclingbringbanksopendata3,shapefile,2531,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\recyclingbringbanksopendata3\shapefile
447,data.gov.ie,Galway City Council,residential-r,shapefile,293323,confirmed-source-or-download-record,high,general-open-data,20,1,already-source-on-site-review-interactive-value,keep source record; consider conversion only if geometry adds high-value interactive use,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,source-detail:approved-publication:source-doc-06107-performance-of-certain-residential-retrofit-schemes,,Galway City Council\residential-r\shapefile
448,data.gov.ie,Galway City Council,road-improvements,shapefile,8957,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\road-improvements\shapefile
449,data.gov.ie,Galway City Council,sportsfacilitiesopendata3,shapefile,5048,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\sportsfacilitiesopendata3\shapefile
450,data.gov.ie,Galway City Council,tenniscourtsopendata3,shapefile,1931,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\tenniscourtsopendata3\shapefile
451,data.gov.ie,Galway City Council,third-level-education-opendata3,shapefile,1883,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\third-level-education-opendata3\shapefile
452,data.gov.ie,Galway City Council,tuam-road-bus-and-cycle-corridor,shapefile,1683,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\tuam-road-bus-and-cycle-corridor\shapefile
453,data.gov.ie,Galway City Council,views-and-prospects,shapefile,7286,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\views-and-prospects\shapefile
454,data.gov.ie,Galway City Council,village-envelope,shapefile,6253,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Galway City Council\village-envelope\shapefile
