DZ21,con,catholic_bg_pct,persuadable,swing_halfwidth
N20000560,LAGAN VALLEY,19.4,46.1,13.8
N20000561,UPPER BANN,7.9,48.0,14.4
N20000562,LAGAN VALLEY,8.6,46.1,13.8
N20000563,LAGAN VALLEY,26.4,46.1,13.8
N20000564,UPPER BANN,9.2,48.0,14.4
N20000565,LAGAN VALLEY,20.6,46.1,13.8
N20000566,LAGAN VALLEY,14.3,46.1,13.8
N20000567,UPPER BANN,5.4,48.0,14.4
N20000568,LAGAN VALLEY,16.5,46.1,13.8
N20000569,UPPER BANN,19.7,48.0,14.4
N20000570,LAGAN VALLEY,24.6,46.1,13.8
N20000571,LAGAN VALLEY,19.0,46.1,13.8
N20000572,UPPER BANN,5.9,48.0,14.4
N20000573,LAGAN VALLEY,18.6,46.1,13.8
N20000574,LAGAN VALLEY,15.5,46.1,13.8
N20000575,LAGAN VALLEY,15.4,46.1,13.8
N20000577,LAGAN VALLEY,12.1,46.1,13.8
N20000578,LAGAN VALLEY,18.3,46.1,13.8
N20000579,LAGAN VALLEY,10.9,46.1,13.8
N20000580,UPPER BANN,17.9,48.0,14.4
N20000581,UPPER BANN,6.7,48.0,14.4
N20000582,LAGAN VALLEY,12.2,46.1,13.8
N20000583,LAGAN VALLEY,13.3,46.1,13.8
N20000584,LAGAN VALLEY,12.2,46.1,13.8
N20000585,UPPER BANN,18.2,48.0,14.4
N20000586,LAGAN VALLEY,10.9,46.1,13.8
N20000587,LAGAN VALLEY,11.0,46.1,13.8
N20000589,LAGAN VALLEY,5.8,46.1,13.8
N20000590,LAGAN VALLEY,26.7,46.1,13.8
N20000591,SOUTH DOWN,19.2,49.7,14.9
N20000592,SOUTH DOWN,41.4,49.7,14.9
N20000593,SOUTH DOWN,24.0,49.7,14.9
N20000594,UPPER BANN,24.8,48.0,14.4
N20000595,UPPER BANN,38.3,48.0,14.4
N20000597,UPPER BANN,60.8,48.0,14.4
N20000598,UPPER BANN,53.9,48.0,14.4
N20000599,UPPER BANN,22.8,48.0,14.4
N20000600,UPPER BANN,65.0,48.0,14.4
N20000601,UPPER BANN,39.2,48.0,14.4
N20000602,UPPER BANN,36.4,48.0,14.4
N20000603,UPPER BANN,18.5,48.0,14.4
N20000604,UPPER BANN,21.9,48.0,14.4
N20000605,UPPER BANN,64.3,48.0,14.4
N20000606,UPPER BANN,48.8,48.0,14.4
N20000608,UPPER BANN,29.2,48.0,14.4
N20000609,UPPER BANN,36.3,48.0,14.4
N20000610,UPPER BANN,29.1,48.0,14.4
N20000611,UPPER BANN,33.8,48.0,14.4
N20000612,UPPER BANN,36.7,48.0,14.4
N20000613,UPPER BANN,32.6,48.0,14.4
N20000614,SOUTH DOWN,24.2,49.7,14.9
N20000615,UPPER BANN,46.1,48.0,14.4
N20000616,UPPER BANN,38.4,48.0,14.4
N20000617,UPPER BANN,35.1,48.0,14.4
N20000618,UPPER BANN,39.6,48.0,14.4
N20000619,UPPER BANN,60.6,48.0,14.4
N20000620,UPPER BANN,39.1,48.0,14.4
N20000621,UPPER BANN,50.8,48.0,14.4
N20000622,UPPER BANN,50.5,48.0,14.4
N20000623,UPPER BANN,30.5,48.0,14.4
N20000624,UPPER BANN,45.2,48.0,14.4
N20000625,UPPER BANN,51.1,48.0,14.4
N20000627,UPPER BANN,41.0,48.0,14.4
N20000628,UPPER BANN,19.2,48.0,14.4
N20000629,UPPER BANN,23.9,48.0,14.4
N20000630,UPPER BANN,36.4,48.0,14.4
N20000631,UPPER BANN,37.5,48.0,14.4
N20000632,UPPER BANN,40.7,48.0,14.4
N20000633,UPPER BANN,22.9,48.0,14.4
N20000634,UPPER BANN,13.4,48.0,14.4
N20000635,UPPER BANN,36.9,48.0,14.4
N20000636,UPPER BANN,27.7,48.0,14.4
N20000637,UPPER BANN,25.8,48.0,14.4
N20000638,UPPER BANN,24.2,48.0,14.4
N20000639,UPPER BANN,27.8,48.0,14.4
N20000641,UPPER BANN,38.9,48.0,14.4
N20000642,UPPER BANN,52.0,48.0,14.4
N20000643,UPPER BANN,38.8,48.0,14.4
N20000645,SOUTH DOWN,45.3,49.7,14.9
N20000646,UPPER BANN,57.0,48.0,14.4
N20000647,UPPER BANN,54.7,48.0,14.4
N20000648,SOUTH DOWN,17.2,49.7,14.9
N20000649,UPPER BANN,35.7,48.0,14.4
N20000650,SOUTH DOWN,18.5,49.7,14.9
N20000651,SOUTH DOWN,64.6,49.7,14.9
N20000652,UPPER BANN,41.9,48.0,14.4
N20000653,SOUTH DOWN,33.7,49.7,14.9
N20000654,NEWRY AND ARMAGH,69.9,49.4,14.8
N20000655,SOUTH DOWN,6.1,49.7,14.9
N20000656,SOUTH DOWN,17.4,49.7,14.9
N20000657,SOUTH DOWN,22.9,49.7,14.9
N20000658,SOUTH DOWN,25.3,49.7,14.9
N20000659,SOUTH DOWN,49.2,49.7,14.9
N20000660,SOUTH DOWN,33.0,49.7,14.9
N20000661,SOUTH DOWN,43.5,49.7,14.9
N20000663,SOUTH DOWN,38.6,49.7,14.9
N20000664,NEWRY AND ARMAGH,5.9,49.4,14.8
N20000665,NEWRY AND ARMAGH,11.1,49.4,14.8
N20000666,NEWRY AND ARMAGH,4.5,49.4,14.8
N20000667,NEWRY AND ARMAGH,14.5,49.4,14.8
N20000668,NEWRY AND ARMAGH,10.6,49.4,14.8
N20000669,NEWRY AND ARMAGH,8.2,49.4,14.8
N20000670,NEWRY AND ARMAGH,7.8,49.4,14.8
N20000671,NEWRY AND ARMAGH,8.1,49.4,14.8
N20000672,NEWRY AND ARMAGH,9.2,49.4,14.8
N20000674,NEWRY AND ARMAGH,17.9,49.4,14.8
N20000675,NEWRY AND ARMAGH,4.3,49.4,14.8
N20000677,NEWRY AND ARMAGH,4.1,49.4,14.8
N20000678,NEWRY AND ARMAGH,8.6,49.4,14.8
N20000679,NEWRY AND ARMAGH,9.0,49.4,14.8
N20000680,NEWRY AND ARMAGH,9.9,49.4,14.8
N20000681,NEWRY AND ARMAGH,11.4,49.4,14.8
N20000682,NEWRY AND ARMAGH,13.1,49.4,14.8
N20000684,NEWRY AND ARMAGH,14.9,49.4,14.8
N20000685,NEWRY AND ARMAGH,16.0,49.4,14.8
N20000686,NEWRY AND ARMAGH,12.6,49.4,14.8
N20000687,NEWRY AND ARMAGH,9.2,49.4,14.8
N20000688,NEWRY AND ARMAGH,20.4,49.4,14.8
N20000689,NEWRY AND ARMAGH,12.1,49.4,14.8
N20000690,NEWRY AND ARMAGH,8.9,49.4,14.8
N20000691,NEWRY AND ARMAGH,6.8,49.4,14.8
N20000692,NEWRY AND ARMAGH,29.1,49.4,14.8
N20000693,NEWRY AND ARMAGH,12.4,49.4,14.8
N20000694,NEWRY AND ARMAGH,17.4,49.4,14.8
N20000695,NEWRY AND ARMAGH,12.4,49.4,14.8
N20000696,NEWRY AND ARMAGH,33.6,49.4,14.8
N20000697,NEWRY AND ARMAGH,10.9,49.4,14.8
N20000698,NEWRY AND ARMAGH,26.3,49.4,14.8
N20000699,NEWRY AND ARMAGH,34.0,49.4,14.8
N20000700,NEWRY AND ARMAGH,15.2,49.4,14.8
N20000701,NEWRY AND ARMAGH,76.3,49.4,14.8
N20000702,NEWRY AND ARMAGH,79.4,49.4,14.8
N20000703,NEWRY AND ARMAGH,10.3,49.4,14.8
N20000705,NEWRY AND ARMAGH,63.6,49.4,14.8
N20000706,NEWRY AND ARMAGH,92.5,49.4,14.8
N20000707,NEWRY AND ARMAGH,91.0,49.4,14.8
N20000708,NEWRY AND ARMAGH,32.0,49.4,14.8
N20000709,NEWRY AND ARMAGH,71.3,49.4,14.8
N20000710,NEWRY AND ARMAGH,79.0,49.4,14.8
N20000711,BELFAST NORTH,5.2,49.2,14.8
N20000712,BELFAST NORTH,78.7,49.2,14.8
N20000713,BELFAST NORTH,47.9,49.2,14.8
N20000714,BELFAST NORTH,7.8,49.2,14.8
N20000715,BELFAST NORTH,94.0,49.2,14.8
N20000716,BELFAST NORTH,12.3,49.2,14.8
N20000717,BELFAST NORTH,3.6,49.2,14.8
N20000718,BELFAST NORTH,7.8,49.2,14.8
N20000719,BELFAST NORTH,90.8,49.2,14.8
N20000720,BELFAST NORTH,4.8,49.2,14.8
N20000721,BELFAST NORTH,28.0,49.2,14.8
N20000722,BELFAST NORTH,16.3,49.2,14.8
N20000723,BELFAST NORTH,9.0,49.2,14.8
N20000725,BELFAST NORTH,84.6,49.2,14.8
N20000726,BELFAST NORTH,48.7,49.2,14.8
N20000727,BELFAST NORTH,9.3,49.2,14.8
N20000728,BELFAST NORTH,11.0,49.2,14.8
N20000729,BELFAST NORTH,8.1,49.2,14.8
N20000730,BELFAST NORTH,13.5,49.2,14.8
N20000731,BELFAST NORTH,70.8,49.2,14.8
N20000732,BELFAST NORTH,85.8,49.2,14.8
N20000733,BELFAST NORTH,73.6,49.2,14.8
N20000734,BELFAST NORTH,89.6,49.2,14.8
N20000735,BELFAST NORTH,91.2,49.2,14.8
N20000736,BELFAST NORTH,9.6,49.2,14.8
N20000737,BELFAST NORTH,12.3,49.2,14.8
N20000738,BELFAST NORTH,78.4,49.2,14.8
N20000739,BELFAST NORTH,9.4,49.2,14.8
N20000740,BELFAST NORTH,86.8,49.2,14.8
N20000741,BELFAST NORTH,87.5,49.2,14.8
N20000742,BELFAST NORTH,16.8,49.2,14.8
N20000743,BELFAST NORTH,76.2,49.2,14.8
N20000744,BELFAST NORTH,23.8,49.2,14.8
N20000745,BELFAST NORTH,75.5,49.2,14.8
N20000746,BELFAST NORTH,87.3,49.2,14.8
N20000747,BELFAST NORTH,81.4,49.2,14.8
N20000748,BELFAST NORTH,91.3,49.2,14.8
N20000749,BELFAST NORTH,80.4,49.2,14.8
N20000750,BELFAST NORTH,85.0,49.2,14.8
N20000751,BELFAST NORTH,90.9,49.2,14.8
N20000752,BELFAST NORTH,92.8,49.2,14.8
N20000753,BELFAST NORTH,93.1,49.2,14.8
N20000754,BELFAST NORTH,76.9,49.2,14.8
N20000755,BELFAST NORTH,92.2,49.2,14.8
N20000756,BELFAST NORTH,87.5,49.2,14.8
N20000757,BELFAST NORTH,71.6,49.2,14.8
N20000758,BELFAST NORTH,93.3,49.2,14.8
N20000759,BELFAST NORTH,62.8,49.2,14.8
N20000760,BELFAST NORTH,88.5,49.2,14.8
N20000761,BELFAST NORTH,92.2,49.2,14.8
N20000762,BELFAST NORTH,91.0,49.2,14.8
N20000763,BELFAST NORTH,64.7,49.2,14.8
N20000764,BELFAST NORTH,68.6,49.2,14.8
N20000765,BELFAST NORTH,88.3,49.2,14.8
N20000766,BELFAST NORTH,82.4,49.2,14.8
N20000767,BELFAST NORTH,80.0,49.2,14.8
N20000769,BELFAST NORTH,70.9,49.2,14.8
N20000770,BELFAST NORTH,72.8,49.2,14.8
N20000771,BELFAST NORTH,85.4,49.2,14.8
N20000772,BELFAST NORTH,68.5,49.2,14.8
N20000774,BELFAST NORTH,75.7,49.2,14.8
N20000775,BELFAST NORTH,78.6,49.2,14.8
N20000776,BELFAST NORTH,6.8,49.2,14.8
N20000779,BELFAST NORTH,85.7,49.2,14.8
N20000780,BELFAST NORTH,83.2,49.2,14.8
N20000781,BELFAST NORTH,93.0,49.2,14.8
N20000782,BELFAST NORTH,84.7,49.2,14.8
N20000783,BELFAST NORTH,85.9,49.2,14.8
N20000784,BELFAST NORTH,93.5,49.2,14.8
N20000785,BELFAST NORTH,92.4,49.2,14.8
N20000786,BELFAST NORTH,64.8,49.2,14.8
N20000787,BELFAST NORTH,88.0,49.2,14.8
N20000788,BELFAST NORTH,84.1,49.2,14.8
N20000789,BELFAST NORTH,71.0,49.2,14.8
N20000790,BELFAST NORTH,10.7,49.2,14.8
N20000791,BELFAST NORTH,57.2,49.2,14.8
N20000792,BELFAST NORTH,82.9,49.2,14.8
N20000793,BELFAST NORTH,78.2,49.2,14.8
N20000794,BELFAST NORTH,84.3,49.2,14.8
N20000795,BELFAST NORTH,25.0,49.2,14.8
N20000796,BELFAST NORTH,78.5,49.2,14.8
N20000797,BELFAST NORTH,56.7,49.2,14.8
N20000798,BELFAST NORTH,7.6,49.2,14.8
N20000799,BELFAST NORTH,82.1,49.2,14.8
N20000800,BELFAST NORTH,14.0,49.2,14.8
N20000801,BELFAST NORTH,10.0,49.2,14.8
N20000802,BELFAST NORTH,88.4,49.2,14.8
N20000804,BELFAST NORTH,64.8,49.2,14.8
N20000805,BELFAST NORTH,17.8,49.2,14.8
N20000806,BELFAST NORTH,7.0,49.2,14.8
N20000807,BELFAST NORTH,76.4,49.2,14.8
N20000808,BELFAST NORTH,83.5,49.2,14.8
N20000809,BELFAST NORTH,40.1,49.2,14.8
N20000810,BELFAST NORTH,81.1,49.2,14.8
N20000811,BELFAST NORTH,7.2,49.2,14.8
N20000812,BELFAST NORTH,87.8,49.2,14.8
N20000814,BELFAST NORTH,69.3,49.2,14.8
N20000815,BELFAST NORTH,86.3,49.2,14.8
N20000816,BELFAST NORTH,72.5,49.2,14.8
N20000817,BELFAST NORTH,60.3,49.2,14.8
N20000818,BELFAST NORTH,81.1,49.2,14.8
N20000819,BELFAST NORTH,46.8,49.2,14.8
N20000820,BELFAST NORTH,4.4,49.2,14.8
N20000821,BELFAST NORTH,29.7,49.2,14.8
N20000822,BELFAST NORTH,82.5,49.2,14.8
N20000823,BELFAST NORTH,34.6,49.2,14.8
N20000824,BELFAST NORTH,76.2,49.2,14.8
N20000825,BELFAST NORTH,51.3,49.2,14.8
N20000826,BELFAST NORTH,41.7,49.2,14.8
N20000827,BELFAST NORTH,77.1,49.2,14.8
N20000828,BELFAST NORTH,16.7,49.2,14.8
N20000829,BELFAST NORTH,11.5,49.2,14.8
N20000830,BELFAST NORTH,59.7,49.2,14.8
N20000831,BELFAST NORTH,86.3,49.2,14.8
N20000832,BELFAST NORTH,43.4,49.2,14.8
N20000833,BELFAST NORTH,76.2,49.2,14.8
N20000834,BELFAST NORTH,11.3,49.2,14.8
N20000835,BELFAST NORTH,13.0,49.2,14.8
N20000836,BELFAST NORTH,74.8,49.2,14.8
N20000837,BELFAST NORTH,7.0,49.2,14.8
N20000838,BELFAST NORTH,74.9,49.2,14.8
N20000840,BELFAST NORTH,80.2,49.2,14.8
N20000841,BELFAST NORTH,55.1,49.2,14.8
N20000842,BELFAST NORTH,26.5,49.2,14.8
N20000843,BELFAST NORTH,71.3,49.2,14.8
N20000844,BELFAST NORTH,5.9,49.2,14.8
N20000845,BELFAST NORTH,17.8,49.2,14.8
N20000846,BELFAST NORTH,86.1,49.2,14.8
N20000847,BELFAST NORTH,9.2,49.2,14.8
N20000848,BELFAST NORTH,64.3,49.2,14.8
N20000849,BELFAST NORTH,72.2,49.2,14.8
N20000850,BELFAST NORTH,13.0,49.2,14.8
N20000851,BELFAST NORTH,15.8,49.2,14.8
N20000852,BELFAST NORTH,10.2,49.2,14.8
N20000853,BELFAST NORTH,13.3,49.2,14.8
N20000854,BELFAST NORTH,34.3,49.2,14.8
N20000855,BELFAST NORTH,46.5,49.2,14.8
N20000856,BELFAST EAST,4.7,46.7,14.0
N20000857,BELFAST EAST,33.8,46.7,14.0
N20000858,BELFAST EAST,7.8,46.7,14.0
N20000859,BELFAST EAST,17.4,46.7,14.0
N20000860,BELFAST EAST,4.5,46.7,14.0
N20000861,BELFAST EAST,10.7,46.7,14.0
N20000862,BELFAST EAST,14.1,46.7,14.0
N20000863,BELFAST EAST,11.5,46.7,14.0
N20000864,BELFAST EAST,16.0,46.7,14.0
N20000865,BELFAST EAST,9.2,46.7,14.0
N20000866,BELFAST EAST,14.6,46.7,14.0
N20000867,BELFAST EAST,11.4,46.7,14.0
N20000868,BELFAST EAST,12.2,46.7,14.0
N20000869,BELFAST EAST,11.6,46.7,14.0
N20000870,BELFAST EAST,7.1,46.7,14.0
N20000871,BELFAST EAST,11.9,46.7,14.0
N20000872,BELFAST EAST,23.1,46.7,14.0
N20000873,BELFAST EAST,8.2,46.7,14.0
N20000874,BELFAST EAST,5.4,46.7,14.0
N20000875,BELFAST EAST,23.4,46.7,14.0
N20000876,BELFAST EAST,16.1,46.7,14.0
N20000877,BELFAST EAST,6.5,46.7,14.0
N20000878,BELFAST EAST,33.3,46.7,14.0
N20000879,BELFAST EAST,17.3,46.7,14.0
N20000881,BELFAST EAST,15.2,46.7,14.0
N20000882,BELFAST EAST,26.6,46.7,14.0
N20000883,BELFAST EAST,14.3,46.7,14.0
N20000884,BELFAST EAST,15.9,46.7,14.0
N20000885,BELFAST EAST,22.2,46.7,14.0
N20000886,BELFAST EAST,68.0,46.7,14.0
N20000887,BELFAST EAST,94.4,46.7,14.0
N20000888,BELFAST EAST,19.5,46.7,14.0
N20000890,BELFAST EAST,21.1,46.7,14.0
N20000891,BELFAST EAST,17.6,46.7,14.0
N20000892,BELFAST EAST,7.1,46.7,14.0
N20000893,BELFAST EAST,16.5,46.7,14.0
N20000894,BELFAST EAST,60.7,46.7,14.0
N20000895,BELFAST EAST,18.8,46.7,14.0
N20000896,BELFAST EAST,86.1,46.7,14.0
N20000897,BELFAST EAST,21.6,46.7,14.0
N20000898,BELFAST EAST,21.4,46.7,14.0
N20000899,BELFAST EAST,22.7,46.7,14.0
N20000900,BELFAST EAST,6.0,46.7,14.0
N20000901,BELFAST EAST,41.7,46.7,14.0
N20000902,BELFAST EAST,26.8,46.7,14.0
N20000903,BELFAST EAST,8.2,46.7,14.0
N20000904,BELFAST EAST,56.7,46.7,14.0
N20000905,BELFAST EAST,22.8,46.7,14.0
N20000906,BELFAST EAST,14.1,46.7,14.0
N20000907,BELFAST EAST,19.1,46.7,14.0
N20000908,BELFAST EAST,18.7,46.7,14.0
N20000909,BELFAST EAST,15.2,46.7,14.0
N20000910,BELFAST EAST,10.8,46.7,14.0
N20000911,BELFAST EAST,3.4,46.7,14.0
N20000912,BELFAST SOUTH,27.1,51.4,15.4
N20000913,BELFAST SOUTH,25.2,51.4,15.4
N20000914,BELFAST EAST,18.1,46.7,14.0
N20000915,BELFAST EAST,15.0,46.7,14.0
N20000916,BELFAST EAST,25.7,46.7,14.0
N20000917,BELFAST EAST,19.7,46.7,14.0
N20000918,BELFAST SOUTH,16.4,51.4,15.4
N20000919,BELFAST EAST,9.2,46.7,14.0
N20000920,BELFAST EAST,17.1,46.7,14.0
N20000921,BELFAST EAST,7.4,46.7,14.0
N20000922,BELFAST SOUTH,12.1,51.4,15.4
N20000923,BELFAST EAST,12.4,46.7,14.0
N20000924,BELFAST SOUTH,21.4,51.4,15.4
N20000925,BELFAST EAST,24.1,46.7,14.0
N20000926,BELFAST EAST,26.9,46.7,14.0
N20000927,BELFAST EAST,12.3,46.7,14.0
N20000928,BELFAST SOUTH,18.9,51.4,15.4
N20000929,BELFAST EAST,17.3,46.7,14.0
N20000930,BELFAST SOUTH,14.7,51.4,15.4
N20000931,BELFAST SOUTH,21.0,51.4,15.4
N20000932,BELFAST EAST,21.9,46.7,14.0
N20000933,BELFAST EAST,22.1,46.7,14.0
N20000934,BELFAST SOUTH,33.9,51.4,15.4
N20000935,BELFAST EAST,6.3,46.7,14.0
N20000936,BELFAST EAST,10.8,46.7,14.0
N20000937,BELFAST EAST,21.5,46.7,14.0
N20000938,BELFAST SOUTH,23.3,51.4,15.4
N20000939,BELFAST SOUTH,32.9,51.4,15.4
N20000940,BELFAST SOUTH,19.5,51.4,15.4
N20000941,BELFAST SOUTH,23.3,51.4,15.4
N20000942,BELFAST SOUTH,38.7,51.4,15.4
N20000943,BELFAST SOUTH,27.3,51.4,15.4
N20000944,BELFAST SOUTH,51.4,51.4,15.4
N20000945,BELFAST EAST,14.5,46.7,14.0
N20000946,NORTH DOWN,15.3,46.7,14.0
N20000947,BELFAST EAST,7.7,46.7,14.0
N20000948,BELFAST EAST,7.9,46.7,14.0
N20000949,BELFAST EAST,4.7,46.7,14.0
N20000950,BELFAST EAST,17.2,46.7,14.0
N20000952,BELFAST EAST,13.5,46.7,14.0
N20000953,BELFAST EAST,10.6,46.7,14.0
N20000954,BELFAST EAST,10.2,46.7,14.0
N20000955,BELFAST EAST,11.8,46.7,14.0
N20000956,BELFAST EAST,10.3,46.7,14.0
N20000957,BELFAST EAST,11.2,46.7,14.0
N20000958,BELFAST EAST,10.6,46.7,14.0
N20000960,BELFAST EAST,9.0,46.7,14.0
N20000961,BELFAST EAST,11.1,46.7,14.0
N20000962,BELFAST EAST,5.3,46.7,14.0
N20000963,BELFAST EAST,19.2,46.7,14.0
N20000964,BELFAST EAST,7.2,46.7,14.0
N20000965,BELFAST EAST,13.5,46.7,14.0
N20000966,BELFAST EAST,18.6,46.7,14.0
N20000967,BELFAST EAST,16.3,46.7,14.0
N20000968,BELFAST EAST,17.1,46.7,14.0
N20000969,BELFAST EAST,13.6,46.7,14.0
N20000970,BELFAST EAST,17.7,46.7,14.0
N20000971,BELFAST EAST,15.0,46.7,14.0
N20000972,BELFAST EAST,32.6,46.7,14.0
N20000973,BELFAST EAST,18.5,46.7,14.0
N20000974,BELFAST EAST,16.6,46.7,14.0
N20000975,BELFAST EAST,21.2,46.7,14.0
N20000976,BELFAST EAST,28.4,46.7,14.0
N20000977,BELFAST EAST,14.7,46.7,14.0
N20000978,BELFAST EAST,24.1,46.7,14.0
N20000979,BELFAST EAST,15.8,46.7,14.0
N20000981,BELFAST EAST,14.7,46.7,14.0
N20000982,BELFAST EAST,17.7,46.7,14.0
N20000983,BELFAST EAST,17.5,46.7,14.0
N20000984,BELFAST EAST,24.3,46.7,14.0
N20000985,BELFAST EAST,21.0,46.7,14.0
N20000986,BELFAST EAST,9.7,46.7,14.0
N20000987,BELFAST EAST,7.5,46.7,14.0
N20000988,BELFAST EAST,12.9,46.7,14.0
N20000989,BELFAST EAST,2.3,46.7,14.0
N20000990,BELFAST EAST,6.9,46.7,14.0
N20000991,BELFAST EAST,9.2,46.7,14.0
N20000992,BELFAST EAST,12.0,46.7,14.0
N20000993,BELFAST EAST,11.0,46.7,14.0
N20000994,BELFAST EAST,3.9,46.7,14.0
N20000995,BELFAST EAST,22.4,46.7,14.0
N20000996,BELFAST EAST,4.4,46.7,14.0
N20000997,BELFAST EAST,18.3,46.7,14.0
N20000998,BELFAST EAST,15.1,46.7,14.0
N20001000,BELFAST EAST,5.6,46.7,14.0
N20001001,BELFAST EAST,15.7,46.7,14.0
N20001002,BELFAST EAST,8.2,46.7,14.0
N20001003,BELFAST EAST,6.8,46.7,14.0
N20001004,BELFAST EAST,1.4,46.7,14.0
N20001005,BELFAST EAST,16.7,46.7,14.0
N20001006,BELFAST EAST,10.9,46.7,14.0
N20001007,BELFAST EAST,10.9,46.7,14.0
N20001008,BELFAST EAST,7.8,46.7,14.0
N20001009,BELFAST EAST,8.2,46.7,14.0
N20001010,BELFAST EAST,23.5,46.7,14.0
N20001013,BELFAST EAST,7.4,46.7,14.0
N20001014,BELFAST EAST,5.4,46.7,14.0
N20001015,BELFAST EAST,11.1,46.7,14.0
N20001016,BELFAST EAST,9.9,46.7,14.0
N20001017,BELFAST EAST,17.4,46.7,14.0
N20001018,BELFAST EAST,7.8,46.7,14.0
N20001019,BELFAST EAST,21.4,46.7,14.0
N20001020,BELFAST EAST,11.2,46.7,14.0
N20001021,BELFAST SOUTH,35.4,51.4,15.4
N20001022,BELFAST EAST,9.0,46.7,14.0
N20001023,BELFAST EAST,17.4,46.7,14.0
N20001024,BELFAST SOUTH,59.4,51.4,15.4
N20001025,BELFAST EAST,15.7,46.7,14.0
N20001026,BELFAST SOUTH,25.0,51.4,15.4
N20001027,BELFAST SOUTH,39.5,51.4,15.4
N20001028,BELFAST EAST,16.7,46.7,14.0
N20001029,BELFAST SOUTH,34.9,51.4,15.4
N20001030,BELFAST SOUTH,42.2,51.4,15.4
N20001031,BELFAST EAST,11.9,46.7,14.0
N20001032,BELFAST SOUTH,28.9,51.4,15.4
N20001033,BELFAST EAST,10.0,46.7,14.0
N20001034,BELFAST EAST,9.3,46.7,14.0
N20001035,BELFAST SOUTH,60.0,51.4,15.4
N20001036,BELFAST SOUTH,23.8,51.4,15.4
N20001037,BELFAST SOUTH,35.8,51.4,15.4
N20001038,BELFAST EAST,15.9,46.7,14.0
N20001039,BELFAST EAST,10.7,46.7,14.0
N20001040,BELFAST EAST,4.4,46.7,14.0
N20001041,BELFAST EAST,11.1,46.7,14.0
N20001042,BELFAST SOUTH,57.1,51.4,15.4
N20001043,BELFAST EAST,9.2,46.7,14.0
N20001044,BELFAST EAST,10.6,46.7,14.0
N20001045,BELFAST EAST,10.5,46.7,14.0
N20001046,BELFAST EAST,11.7,46.7,14.0
N20001048,BELFAST EAST,9.2,46.7,14.0
N20001049,BELFAST SOUTH,17.1,51.4,15.4
N20001050,BELFAST SOUTH,13.5,51.4,15.4
N20001051,BELFAST EAST,8.0,46.7,14.0
N20001052,BELFAST SOUTH,19.6,51.4,15.4
N20001053,BELFAST SOUTH,27.8,51.4,15.4
N20001054,BELFAST EAST,12.4,46.7,14.0
N20001056,BELFAST EAST,10.9,46.7,14.0
N20001057,BELFAST SOUTH,58.3,51.4,15.4
N20001058,BELFAST EAST,4.6,46.7,14.0
N20001059,BELFAST SOUTH,40.7,51.4,15.4
N20001060,BELFAST EAST,15.4,46.7,14.0
N20001061,BELFAST SOUTH,62.3,51.4,15.4
N20001062,BELFAST SOUTH,70.3,51.4,15.4
N20001063,BELFAST SOUTH,50.7,51.4,15.4
N20001064,BELFAST SOUTH,50.2,51.4,15.4
N20001065,BELFAST SOUTH,9.5,51.4,15.4
N20001066,BELFAST SOUTH,47.6,51.4,15.4
N20001067,BELFAST EAST,13.8,46.7,14.0
N20001069,BELFAST SOUTH,65.3,51.4,15.4
N20001070,BELFAST SOUTH,61.6,51.4,15.4
N20001071,BELFAST SOUTH,68.9,51.4,15.4
N20001072,BELFAST SOUTH,65.5,51.4,15.4
N20001073,BELFAST SOUTH,76.8,51.4,15.4
N20001074,BELFAST SOUTH,38.9,51.4,15.4
N20001075,BELFAST SOUTH,65.9,51.4,15.4
N20001076,BELFAST SOUTH,70.7,51.4,15.4
N20001077,BELFAST SOUTH,48.6,51.4,15.4
N20001078,BELFAST SOUTH,45.5,51.4,15.4
N20001079,BELFAST SOUTH,55.6,51.4,15.4
N20001080,BELFAST SOUTH,30.2,51.4,15.4
N20001081,BELFAST SOUTH,57.5,51.4,15.4
N20001082,BELFAST SOUTH,88.4,51.4,15.4
N20001083,BELFAST SOUTH,91.0,51.4,15.4
N20001084,BELFAST SOUTH,18.3,51.4,15.4
N20001085,BELFAST SOUTH,29.2,51.4,15.4
N20001086,BELFAST SOUTH,76.2,51.4,15.4
N20001087,BELFAST SOUTH,24.2,51.4,15.4
N20001088,BELFAST SOUTH,24.7,51.4,15.4
N20001089,BELFAST SOUTH,5.3,51.4,15.4
N20001090,BELFAST SOUTH,23.1,51.4,15.4
N20001091,BELFAST SOUTH,14.1,51.4,15.4
N20001092,BELFAST SOUTH,7.5,51.4,15.4
N20001093,BELFAST SOUTH,4.9,51.4,15.4
N20001094,BELFAST SOUTH,84.2,51.4,15.4
N20001095,BELFAST SOUTH,13.1,51.4,15.4
N20001096,BELFAST SOUTH,15.9,51.4,15.4
N20001097,BELFAST SOUTH,11.9,51.4,15.4
N20001098,BELFAST SOUTH,17.2,51.4,15.4
N20001099,BELFAST SOUTH,33.7,51.4,15.4
N20001100,BELFAST SOUTH,14.3,51.4,15.4
N20001101,BELFAST SOUTH,40.3,51.4,15.4
N20001102,BELFAST SOUTH,28.1,51.4,15.4
N20001103,BELFAST SOUTH,44.9,51.4,15.4
N20001104,BELFAST SOUTH,15.1,51.4,15.4
N20001105,BELFAST SOUTH,55.7,51.4,15.4
N20001106,BELFAST SOUTH,21.5,51.4,15.4
N20001108,BELFAST SOUTH,27.9,51.4,15.4
