DZ21,ten_owner,ten_social,ten_private
N20002462,0.604,0.198,0.198
N20002463,0.881,0.01,0.108
N20002464,0.93,0.0,0.07
N20002465,0.864,0.006,0.131
N20002466,0.858,0.0,0.142
N20002467,0.918,0.0,0.082
N20002468,0.851,0.009,0.14
N20002469,0.92,0.007,0.073
N20002470,0.935,0.004,0.062
N20002471,0.854,0.005,0.141
N20002472,0.944,0.006,0.05
N20002473,0.872,0.005,0.123
N20002474,0.91,0.004,0.086
N20002475,0.932,0.005,0.063
N20002476,0.946,0.004,0.05
N20002477,0.755,0.0,0.245
N20002478,0.935,0.0,0.065
N20002479,0.892,0.0,0.108
N20002480,0.975,0.0,0.025
N20002481,0.564,0.331,0.105
N20002482,0.855,0.0,0.145
N20002483,0.941,0.0,0.059
N20002484,0.745,0.164,0.091
N20002485,0.912,0.0,0.087
N20002486,0.91,0.009,0.081
N20002487,0.971,0.0,0.029
N20002488,0.886,0.014,0.1
N20002489,0.923,0.007,0.07
N20002490,0.87,0.0,0.13
N20002491,0.876,0.0,0.124
N20002492,0.587,0.239,0.174
N20002493,0.217,0.682,0.102
N20002494,0.652,0.005,0.342
N20002495,0.94,0.0,0.06
N20002496,0.813,0.0,0.187
N20002497,0.821,0.005,0.173
N20002498,0.939,0.0,0.061
N20002499,0.904,0.0,0.096
N20002500,0.954,0.0,0.046
N20002501,0.923,0.0,0.077
N20002502,0.923,0.0,0.077
N20002503,0.89,0.035,0.075
N20002504,0.725,0.13,0.145
N20002505,0.938,0.0,0.062
N20002506,0.847,0.021,0.132
N20002507,0.32,0.516,0.164
N20002508,0.554,0.214,0.232
N20002509,0.964,0.005,0.032
N20002510,0.366,0.5,0.134
N20002511,0.55,0.345,0.105
N20002512,0.401,0.409,0.19
N20002513,0.719,0.152,0.129
N20002514,0.661,0.227,0.112
N20002515,0.917,0.0,0.083
N20002516,0.663,0.046,0.291
N20002517,0.398,0.35,0.252
N20002518,0.876,0.0,0.124
N20002519,0.952,0.0,0.048
N20002520,0.762,0.005,0.232
N20002521,0.376,0.38,0.244
N20002522,0.579,0.257,0.164
N20002523,0.348,0.511,0.14
N20002524,0.727,0.118,0.155
N20002525,0.541,0.243,0.215
N20002526,0.94,0.004,0.055
N20002527,0.441,0.449,0.11
N20002528,0.957,0.0,0.043
N20002529,0.552,0.331,0.116
N20002530,0.52,0.362,0.118
N20002531,0.768,0.006,0.226
N20002532,0.843,0.056,0.102
N20002533,0.482,0.439,0.079
N20002534,0.679,0.214,0.107
N20002535,0.884,0.031,0.085
N20002536,0.907,0.0,0.093
N20002537,0.955,0.0,0.045
N20002538,0.96,0.0,0.04
N20002539,0.918,0.0,0.082
N20002540,0.872,0.012,0.116
N20002541,0.854,0.011,0.135
N20002542,0.964,0.0,0.036
N20002543,0.739,0.126,0.134
N20002544,0.68,0.174,0.146
N20002545,0.95,0.018,0.032
N20002546,0.934,0.004,0.062
N20002547,0.918,0.005,0.077
N20002548,0.835,0.051,0.114
N20002549,0.891,0.005,0.104
N20002550,0.929,0.0,0.071
N20002551,0.824,0.024,0.153
N20002552,0.837,0.0,0.163
N20002553,0.847,0.006,0.146
N20002554,0.36,0.434,0.206
N20002555,0.78,0.051,0.168
N20002556,0.511,0.306,0.183
N20002557,0.934,0.0,0.066
N20002558,0.311,0.5,0.189
N20002559,0.649,0.115,0.236
N20002560,0.471,0.369,0.159
N20002561,0.436,0.118,0.446
N20002562,0.593,0.177,0.23
N20002563,0.9,0.0,0.1
N20002564,0.823,0.011,0.165
N20002565,0.955,0.0,0.045
N20002566,0.849,0.006,0.145
N20002567,0.667,0.15,0.184
N20002568,0.745,0.115,0.14
N20002569,0.956,0.007,0.036
N20002570,0.878,0.0,0.122
N20002571,0.898,0.0,0.102
N20002572,0.903,0.005,0.092
N20002573,0.871,0.0,0.129
N20002574,0.903,0.0,0.097
N20002575,0.183,0.633,0.183
N20002576,0.596,0.254,0.15
N20002577,0.881,0.01,0.109
N20002578,0.671,0.116,0.213
N20002579,0.709,0.027,0.265
N20002580,0.906,0.006,0.089
N20002581,0.932,0.0,0.068
N20002582,0.842,0.023,0.135
N20002583,0.877,0.015,0.108
N20002584,0.856,0.013,0.131
N20002585,0.928,0.0,0.072
N20002586,0.747,0.047,0.206
N20002587,0.417,0.281,0.302
N20002588,0.273,0.433,0.294
N20002589,0.374,0.313,0.313
N20002590,0.885,0.0,0.115
N20002591,0.941,0.0,0.059
N20002592,0.821,0.012,0.168
N20002593,0.748,0.004,0.248
N20002594,0.25,0.458,0.292
N20002595,0.807,0.114,0.079
N20002596,0.449,0.353,0.199
N20002597,0.802,0.0,0.198
N20002598,0.858,0.0,0.142
N20002599,0.833,0.0,0.167
N20002600,0.917,0.024,0.059
N20002601,0.532,0.268,0.2
N20002602,0.731,0.086,0.183
N20002603,0.879,0.0,0.121
N20002604,0.508,0.187,0.305
N20002605,0.557,0.076,0.367
N20002606,0.615,0.058,0.327
N20002607,0.924,0.008,0.068
N20002608,0.167,0.551,0.283
N20002609,0.864,0.006,0.13
N20002610,0.679,0.082,0.239
N20002611,0.338,0.169,0.492
N20002612,0.58,0.145,0.275
N20002613,0.491,0.07,0.439
N20002614,0.27,0.472,0.258
N20002615,0.333,0.169,0.498
N20002616,0.299,0.456,0.245
N20002617,0.234,0.184,0.582
N20002618,0.848,0.014,0.138
N20002619,0.271,0.62,0.11
N20002620,0.164,0.425,0.411
N20002621,0.872,0.0,0.128
N20002622,0.31,0.519,0.171
N20002623,0.966,0.0,0.034
N20002624,0.841,0.011,0.148
N20002625,0.305,0.293,0.402
N20002626,0.589,0.221,0.19
N20002627,0.315,0.569,0.115
N20002628,0.532,0.03,0.438
N20002629,0.306,0.434,0.26
N20002630,0.794,0.007,0.199
N20002631,0.589,0.279,0.132
N20002632,0.901,0.005,0.094
N20002633,0.887,0.0,0.113
N20002634,0.673,0.0,0.327
N20002635,0.848,0.0,0.152
N20002636,0.592,0.192,0.217
N20002637,0.903,0.005,0.092
N20002638,0.519,0.019,0.461
N20002639,0.892,0.004,0.104
N20002640,0.658,0.129,0.213
N20002641,0.815,0.074,0.111
N20002642,0.888,0.005,0.107
N20002643,0.821,0.005,0.174
N20002644,0.741,0.054,0.204
N20002645,0.872,0.008,0.12
N20002646,0.896,0.0,0.104
N20002647,0.853,0.016,0.131
N20002648,0.881,0.021,0.097
N20002649,0.792,0.013,0.195
N20002650,0.791,0.076,0.133
N20002651,0.819,0.0,0.181
N20002652,0.636,0.167,0.197
N20002653,0.865,0.029,0.106
N20002654,0.94,0.004,0.056
N20002655,0.623,0.113,0.264
N20002656,0.448,0.258,0.294
N20002657,0.571,0.193,0.236
N20002658,0.78,0.004,0.216
N20002659,0.603,0.388,0.009
N20002660,0.843,0.006,0.151
N20002661,0.529,0.147,0.324
N20002662,0.862,0.017,0.121
N20002663,0.894,0.0,0.106
N20002664,0.879,0.0,0.121
N20002665,0.195,0.662,0.143
N20002666,0.369,0.266,0.365
N20002667,0.66,0.0,0.34
N20002668,0.865,0.0,0.135
N20002669,0.58,0.26,0.16
N20002670,0.829,0.004,0.167
N20002671,0.205,0.624,0.171
N20002672,0.667,0.053,0.281
N20002673,0.218,0.676,0.106
N20002674,0.866,0.017,0.116
N20002675,0.837,0.039,0.124
N20002676,0.853,0.033,0.114
N20002677,0.887,0.019,0.094
N20002678,0.869,0.021,0.11
N20002679,0.876,0.012,0.112
N20002680,0.458,0.363,0.179
N20002681,0.71,0.074,0.216
N20002682,0.808,0.053,0.139
N20002683,0.724,0.107,0.168
N20002684,0.908,0.0,0.092
N20002685,0.796,0.007,0.197
N20002686,0.599,0.192,0.21
N20002687,0.576,0.117,0.307
N20002688,0.591,0.263,0.145
N20002689,0.576,0.175,0.249
N20002690,0.832,0.0,0.168
N20002691,0.909,0.008,0.083
N20002692,0.923,0.0,0.077
N20002693,0.905,0.006,0.089
N20002694,0.87,0.025,0.105
N20002695,0.852,0.0,0.148
N20002696,0.832,0.046,0.121
N20002697,0.942,0.0,0.058
N20002698,0.365,0.432,0.203
N20002699,0.9,0.0,0.1
N20002700,0.873,0.03,0.096
N20002701,0.785,0.063,0.152
N20002702,0.618,0.215,0.167
N20002703,0.573,0.244,0.183
N20002704,0.59,0.242,0.168
N20002705,0.649,0.0,0.351
N20002706,0.774,0.0,0.226
N20002707,0.834,0.0,0.166
N20002708,0.477,0.358,0.166
N20002709,0.458,0.306,0.235
N20002710,0.494,0.241,0.265
N20002711,0.571,0.272,0.157
N20002712,0.466,0.363,0.171
N20002713,0.92,0.0,0.08
N20002714,0.476,0.117,0.407
N20002715,0.808,0.0,0.192
N20002716,0.643,0.0,0.357
N20002717,0.541,0.164,0.296
N20002718,0.613,0.04,0.347
N20002719,0.307,0.447,0.246
N20002720,0.449,0.155,0.396
N20002721,0.281,0.403,0.317
N20002722,0.848,0.0,0.152
N20002723,0.373,0.393,0.234
N20002724,0.436,0.185,0.379
N20002725,0.531,0.023,0.445
N20002726,0.802,0.069,0.129
N20002727,0.355,0.171,0.474
N20002728,0.762,0.027,0.211
N20002729,0.029,0.825,0.146
N20002730,0.913,0.0,0.087
N20002731,0.761,0.0,0.239
N20002732,0.541,0.112,0.346
N20002733,0.932,0.0,0.068
N20002734,0.348,0.187,0.465
N20002735,0.478,0.097,0.425
N20002736,0.912,0.0,0.088
N20002737,0.871,0.0,0.129
N20002738,0.81,0.0,0.19
N20002739,0.81,0.049,0.141
N20002740,0.62,0.091,0.288
N20002741,0.702,0.138,0.16
N20002742,0.862,0.0,0.138
N20002743,0.863,0.006,0.131
N20002744,0.871,0.003,0.125
N20002745,0.769,0.009,0.222
N20002746,0.921,0.0,0.079
N20002747,0.877,0.004,0.119
N20002748,0.626,0.146,0.227
N20002749,0.914,0.007,0.079
N20002750,0.757,0.035,0.208
N20002751,0.906,0.0,0.094
N20002752,0.629,0.147,0.224
N20002753,0.783,0.017,0.2
N20002754,0.558,0.029,0.413
N20002755,0.937,0.009,0.054
N20002756,0.389,0.403,0.208
N20002757,0.781,0.016,0.203
N20002758,0.922,0.006,0.072
N20002759,0.297,0.413,0.29
N20002760,0.574,0.102,0.323
N20002761,0.689,0.118,0.193
N20002762,0.913,0.007,0.08
N20002763,0.939,0.0,0.061
N20002764,0.946,0.005,0.049
N20002765,0.945,0.0,0.055
N20002766,0.971,0.01,0.019
N20002767,0.628,0.069,0.303
N20002768,0.965,0.0,0.035
N20002769,0.968,0.0,0.032
N20002770,0.957,0.0,0.043
N20002771,0.966,0.0,0.034
N20002772,0.453,0.467,0.08
N20002773,0.897,0.0,0.103
N20002774,0.904,0.004,0.092
N20002775,0.949,0.0,0.051
N20002776,0.918,0.009,0.073
N20002777,0.928,0.0,0.072
N20002778,0.815,0.007,0.178
N20002779,0.445,0.44,0.115
N20002780,0.489,0.384,0.127
N20002781,0.373,0.405,0.222
N20002782,0.883,0.006,0.111
N20002783,0.946,0.005,0.049
N20002784,0.743,0.129,0.129
N20002785,0.89,0.006,0.103
N20002786,0.887,0.044,0.069
N20002787,0.661,0.141,0.198
N20002788,0.867,0.0,0.133
N20002789,0.674,0.234,0.092
N20002790,0.648,0.096,0.256
N20002791,0.578,0.157,0.265
N20002792,0.423,0.408,0.169
N20002793,0.298,0.558,0.144
N20002794,0.57,0.233,0.197
N20002795,0.33,0.444,0.226
N20002796,0.289,0.165,0.546
N20002797,0.416,0.09,0.494
N20002798,0.194,0.405,0.401
N20002799,0.608,0.189,0.203
N20002800,0.643,0.064,0.293
N20002801,0.408,0.408,0.184
N20002802,0.909,0.003,0.088
N20002803,0.925,0.005,0.07
N20002804,0.965,0.008,0.027
N20002805,0.894,0.0,0.106
N20002806,0.902,0.0,0.098
N20002807,0.945,0.0,0.055
N20002808,0.924,0.007,0.069
N20002809,0.853,0.0,0.147
N20002810,0.852,0.005,0.143
N20002811,0.468,0.347,0.185
N20002812,0.696,0.165,0.139
N20002813,0.479,0.268,0.253
N20002814,0.912,0.0,0.088
N20002815,0.462,0.292,0.246
N20002816,0.525,0.215,0.259
N20002817,0.505,0.283,0.212
N20002818,0.295,0.451,0.254
N20002819,0.413,0.345,0.242
N20002820,0.788,0.071,0.141
N20002821,0.564,0.204,0.233
N20002822,0.759,0.0,0.241
N20002823,0.938,0.0,0.062
N20002824,0.752,0.0,0.248
N20002825,0.95,0.0,0.05
N20002826,0.951,0.0,0.049
N20002827,0.902,0.0,0.098
N20002828,0.827,0.0,0.173
N20002829,0.417,0.399,0.185
N20002830,0.68,0.162,0.158
N20002831,0.276,0.495,0.229
N20002832,0.947,0.0,0.053
N20002833,0.455,0.335,0.21
N20002834,0.605,0.172,0.223
N20002835,0.565,0.243,0.192
N20002836,0.802,0.068,0.129
N20002837,0.777,0.046,0.177
N20002838,0.797,0.022,0.181
N20002839,0.885,0.005,0.11
N20002840,0.802,0.052,0.147
N20002841,0.899,0.007,0.094
N20002842,0.67,0.142,0.188
N20002843,0.646,0.144,0.209
N20002844,0.742,0.054,0.204
N20002845,0.861,0.049,0.09
N20002846,0.632,0.206,0.162
N20002847,0.905,0.0,0.095
N20002848,0.89,0.015,0.095
N20002849,0.852,0.03,0.118
N20002850,0.469,0.144,0.388
N20002851,0.755,0.007,0.238
N20002852,0.74,0.064,0.196
N20002853,0.88,0.028,0.092
N20002854,0.51,0.27,0.219
N20002855,0.342,0.291,0.367
N20002856,0.816,0.007,0.178
N20002857,0.5,0.286,0.214
N20002858,0.375,0.276,0.349
N20002859,0.874,0.026,0.1
N20002860,0.885,0.023,0.092
N20002861,0.592,0.158,0.25
N20002862,0.863,0.049,0.088
N20002863,0.874,0.013,0.113
N20002864,0.889,0.012,0.099
N20002865,0.912,0.018,0.07
N20002866,0.875,0.0,0.125
N20002867,0.776,0.06,0.163
N20002868,0.884,0.012,0.104
N20002869,0.513,0.168,0.319
N20002870,0.662,0.061,0.277
N20002871,0.85,0.011,0.139
N20002872,0.679,0.159,0.162
N20002873,0.801,0.007,0.192
N20002874,0.833,0.007,0.159
N20002875,0.479,0.247,0.274
N20002876,0.895,0.0,0.105
N20002877,0.885,0.011,0.104
N20002878,0.525,0.232,0.243
N20002879,0.841,0.009,0.15
N20002880,0.45,0.238,0.312
N20002881,0.637,0.104,0.259
N20002882,0.876,0.015,0.109
N20002883,0.631,0.134,0.235
N20002884,0.668,0.004,0.328
N20002885,0.7,0.012,0.287
N20002886,0.768,0.121,0.111
N20002887,0.883,0.0,0.117
N20002888,0.888,0.012,0.1
N20002889,0.794,0.0,0.206
N20002890,0.872,0.0,0.128
N20002891,0.783,0.04,0.177
N20002892,0.89,0.0,0.11
N20002893,0.814,0.082,0.104
N20002894,0.805,0.014,0.181
N20002895,0.622,0.02,0.358
N20002896,0.723,0.007,0.27
N20002897,0.276,0.407,0.317
N20002898,0.427,0.011,0.562
N20002899,0.341,0.457,0.203
N20002900,0.903,0.0,0.097
N20002901,0.18,0.219,0.601
N20002902,0.426,0.282,0.292
N20002903,0.726,0.073,0.201
N20002904,0.347,0.249,0.404
N20002905,0.562,0.177,0.26
N20002906,0.503,0.273,0.224
N20002907,0.237,0.531,0.233
N20002908,0.648,0.069,0.284
N20002909,0.769,0.015,0.216
N20002910,0.856,0.0,0.144
N20002911,0.912,0.0,0.088
N20002912,0.744,0.0,0.256
N20002913,0.856,0.02,0.124
N20002914,0.902,0.0,0.098
N20002915,0.925,0.005,0.071
N20002916,0.655,0.03,0.315
N20002917,0.783,0.041,0.175
N20002918,0.922,0.0,0.078
N20002919,0.847,0.006,0.147
N20002920,0.915,0.0,0.085
N20002921,0.804,0.028,0.168
N20002922,0.652,0.174,0.174
N20002923,0.52,0.035,0.444
N20002924,0.578,0.048,0.375
N20002925,0.882,0.0,0.118
N20002926,0.818,0.072,0.11
N20002927,0.802,0.023,0.174
N20002928,0.898,0.008,0.095
N20002929,0.842,0.011,0.147
N20002930,0.891,0.009,0.1
N20002931,0.83,0.005,0.165
N20002932,0.814,0.016,0.17
N20002933,0.732,0.083,0.185
N20002934,0.742,0.014,0.244
N20002935,0.674,0.201,0.125
N20002936,0.896,0.008,0.096
N20002937,0.705,0.005,0.29
N20002938,0.359,0.422,0.219
N20002939,0.52,0.236,0.244
N20002940,0.327,0.161,0.512
N20002941,0.631,0.017,0.352
N20002942,0.871,0.021,0.108
N20002943,0.626,0.062,0.313
N20002944,0.82,0.012,0.168
N20002945,0.184,0.689,0.126
N20002946,0.32,0.177,0.503
N20002947,0.188,0.355,0.457
N20002948,0.864,0.0,0.136
N20002949,0.712,0.038,0.25
N20002950,0.181,0.115,0.703
N20002951,0.82,0.031,0.149
N20002952,0.678,0.071,0.251
N20002953,0.792,0.017,0.191
N20002954,0.733,0.035,0.232
N20002955,0.827,0.0,0.173
N20002956,0.453,0.362,0.185
N20002957,0.486,0.032,0.482
N20002958,0.376,0.432,0.192
N20002959,0.878,0.0,0.122
N20002960,0.498,0.322,0.18
N20002961,0.591,0.028,0.381
N20002962,0.435,0.15,0.415
N20002963,0.747,0.005,0.247
N20002964,0.667,0.068,0.266
N20002965,0.616,0.152,0.232
N20002966,0.779,0.004,0.217
N20002967,0.893,0.005,0.102
N20002968,0.788,0.061,0.152
N20002969,0.686,0.128,0.186
N20002970,0.613,0.032,0.355
N20002971,0.811,0.025,0.164
N20002972,0.491,0.18,0.329
N20002973,0.842,0.021,0.138
N20002974,0.772,0.0,0.228
N20002975,0.867,0.004,0.129
N20002976,0.722,0.093,0.185
N20002977,0.854,0.008,0.138
N20002978,0.667,0.091,0.242
N20002979,0.842,0.015,0.144
N20002980,0.78,0.032,0.188
N20002981,0.825,0.019,0.156
N20002982,0.902,0.0,0.098
N20002983,0.399,0.268,0.333
N20002984,0.819,0.041,0.14
N20002985,0.871,0.025,0.104
N20002986,0.701,0.071,0.228
N20002987,0.902,0.007,0.092
N20002988,0.876,0.0,0.124
N20002989,0.852,0.023,0.125
N20002990,0.819,0.014,0.167
N20002991,0.686,0.07,0.244
N20002992,0.869,0.007,0.124
N20002993,0.761,0.028,0.211
N20002994,0.683,0.109,0.208
N20002995,0.561,0.117,0.322
N20002996,0.806,0.028,0.167
N20002997,0.829,0.014,0.157
N20002998,0.763,0.025,0.212
N20002999,0.582,0.058,0.36
N20003000,0.831,0.0,0.169
N20003001,0.319,0.449,0.232
N20003002,0.257,0.492,0.251
N20003003,0.344,0.318,0.338
N20003004,0.817,0.017,0.167
N20003005,0.276,0.415,0.309
N20003006,0.566,0.02,0.414
N20003007,0.669,0.079,0.252
N20003008,0.465,0.14,0.395
N20003009,0.779,0.06,0.16
N20003010,0.29,0.554,0.156
N20003011,0.633,0.179,0.189
N20003012,0.601,0.01,0.389
N20003013,0.692,0.106,0.203
N20003014,0.507,0.147,0.347
N20003015,0.893,0.0,0.107
N20003016,0.907,0.0,0.093
N20003017,0.909,0.008,0.083
N20003018,0.644,0.243,0.113
N20003019,0.749,0.056,0.195
N20003020,0.507,0.044,0.448
N20003021,0.861,0.006,0.133
N20003022,0.743,0.099,0.158
N20003023,0.571,0.223,0.206
N20003024,0.867,0.013,0.12
N20003025,0.741,0.08,0.179
N20003026,0.265,0.506,0.228
N20003027,0.559,0.029,0.412
N20003028,0.387,0.184,0.429
N20003029,0.356,0.268,0.376
N20003030,0.624,0.104,0.271
N20003031,0.748,0.112,0.14
N20003032,0.395,0.085,0.52
N20003033,0.302,0.443,0.255
N20003034,0.199,0.446,0.355
N20003035,0.434,0.206,0.36
N20003036,0.89,0.0,0.11
N20003037,0.135,0.244,0.622
N20003038,0.099,0.552,0.35
N20003039,0.482,0.016,0.502
N20003040,0.622,0.072,0.305
N20003041,0.177,0.549,0.274
N20003042,0.124,0.706,0.169
N20003043,0.467,0.175,0.358
N20003044,0.59,0.039,0.371
N20003045,0.488,0.166,0.346
N20003046,0.664,0.005,0.332
N20003047,0.556,0.101,0.344
N20003048,0.786,0.022,0.192
N20003049,0.754,0.0,0.246
N20003050,0.749,0.036,0.215
N20003051,0.627,0.177,0.196
N20003052,0.682,0.074,0.244
N20003053,0.551,0.245,0.204
N20003054,0.689,0.137,0.174
N20003055,0.82,0.0,0.18
N20003056,0.889,0.004,0.107
N20003057,0.862,0.0,0.138
N20003058,0.608,0.039,0.353
N20003059,0.45,0.109,0.442
N20003060,0.583,0.104,0.313
N20003061,0.691,0.063,0.246
N20003062,0.765,0.023,0.211
N20003063,0.835,0.012,0.153
N20003064,0.848,0.034,0.117
N20003065,0.846,0.004,0.151
N20003066,0.741,0.089,0.17
N20003067,0.838,0.012,0.15
N20003068,0.643,0.143,0.214
N20003069,0.747,0.027,0.226
N20003070,0.818,0.004,0.177
N20003071,0.885,0.005,0.109
N20003072,0.608,0.163,0.229
N20003073,0.886,0.008,0.105
N20003074,0.892,0.0,0.108
N20003075,0.812,0.005,0.183
N20003076,0.44,0.24,0.32
N20003077,0.858,0.005,0.137
N20003078,0.742,0.038,0.22
N20003079,0.873,0.004,0.123
N20003080,0.872,0.0,0.128
N20003081,0.795,0.065,0.14
N20003082,0.786,0.008,0.206
N20003083,0.832,0.039,0.129
N20003084,0.889,0.02,0.09
N20003085,0.868,0.0,0.132
N20003086,0.891,0.006,0.103
N20003087,0.767,0.01,0.223
N20003088,0.575,0.205,0.219
N20003089,0.732,0.054,0.214
N20003090,0.522,0.109,0.368
N20003091,0.466,0.197,0.336
N20003092,0.818,0.018,0.164
N20003093,0.845,0.005,0.15
N20003094,0.854,0.0,0.146
N20003095,0.814,0.005,0.181
N20003096,0.842,0.046,0.112
N20003097,0.53,0.13,0.34
N20003098,0.392,0.371,0.237
N20003099,0.606,0.09,0.303
N20003100,0.467,0.213,0.32
N20003101,0.88,0.011,0.109
N20003102,0.866,0.06,0.075
N20003103,0.862,0.04,0.098
N20003104,0.589,0.054,0.357
N20003105,0.862,0.017,0.121
N20003106,0.605,0.114,0.281
N20003107,0.752,0.057,0.191
N20003108,0.683,0.042,0.275
N20003109,0.3,0.175,0.525
N20003110,0.828,0.047,0.124
N20003111,0.61,0.186,0.203
N20003112,0.796,0.07,0.134
N20003113,0.552,0.198,0.25
N20003114,0.624,0.134,0.242
N20003115,0.722,0.078,0.2
N20003116,0.823,0.057,0.121
N20003117,0.38,0.373,0.247
N20003118,0.233,0.658,0.108
N20003119,0.267,0.658,0.075
N20003120,0.451,0.321,0.228
N20003121,0.891,0.005,0.104
N20003122,0.571,0.157,0.273
N20003123,0.714,0.061,0.225
N20003124,0.52,0.16,0.32
N20003125,0.855,0.004,0.141
N20003126,0.725,0.07,0.205
N20003127,0.87,0.009,0.121
N20003128,0.869,0.008,0.123
N20003129,0.854,0.012,0.134
N20003130,0.921,0.0,0.079
N20003131,0.821,0.011,0.168
N20003132,0.479,0.19,0.331
N20003133,0.871,0.011,0.118
N20003134,0.468,0.316,0.215
N20003135,0.906,0.0,0.094
N20003136,0.679,0.091,0.23
N20003137,0.786,0.076,0.138
N20003138,0.763,0.026,0.211
N20003139,0.665,0.063,0.272
N20003140,0.872,0.011,0.117
N20003141,0.719,0.123,0.158
N20003142,0.705,0.01,0.285
N20003143,0.47,0.288,0.242
N20003144,0.618,0.129,0.253
N20003145,0.694,0.055,0.251
N20003146,0.358,0.49,0.152
N20003147,0.528,0.07,0.402
N20003148,0.866,0.006,0.128
N20003149,0.892,0.007,0.101
N20003150,0.491,0.286,0.223
N20003151,0.857,0.006,0.136
N20003152,0.669,0.097,0.234
N20003153,0.859,0.004,0.137
N20003154,0.582,0.179,0.239
N20003155,0.679,0.011,0.31
N20003156,0.859,0.0,0.141
N20003157,0.732,0.015,0.254
N20003158,0.493,0.237,0.27
N20003159,0.469,0.268,0.263
N20003160,0.784,0.0,0.216
N20003161,0.587,0.19,0.223
N20003162,0.473,0.308,0.219
N20003163,0.946,0.0,0.054
N20003164,0.557,0.137,0.306
N20003165,0.867,0.006,0.127
N20003166,0.374,0.381,0.245
N20003167,0.651,0.142,0.208
N20003168,0.75,0.0,0.25
N20003169,0.881,0.0,0.119
N20003170,0.209,0.512,0.279
N20003171,0.337,0.398,0.265
N20003172,0.266,0.388,0.346
N20003173,0.315,0.502,0.183
N20003174,0.229,0.386,0.386
N20003175,0.402,0.353,0.245
N20003176,0.49,0.192,0.318
N20003177,0.406,0.342,0.251
N20003178,0.255,0.307,0.438
N20003179,0.309,0.149,0.541
N20003180,0.642,0.005,0.353
N20003181,0.539,0.078,0.383
N20003182,0.253,0.627,0.12
N20003183,0.415,0.366,0.219
N20003184,0.731,0.075,0.193
N20003185,0.298,0.317,0.385
N20003186,0.429,0.256,0.315
N20003187,0.525,0.09,0.385
N20003188,0.802,0.037,0.16
N20003189,0.653,0.117,0.23
N20003190,0.202,0.078,0.721
N20003191,0.819,0.005,0.176
N20003192,0.401,0.401,0.198
N20003193,0.573,0.035,0.392
N20003194,0.751,0.087,0.162
N20003195,0.518,0.223,0.259
N20003196,0.726,0.005,0.269
N20003197,0.7,0.056,0.244
N20003198,0.81,0.011,0.179
N20003199,0.584,0.052,0.364
N20003200,0.851,0.0,0.149
N20003201,0.577,0.155,0.268
N20003202,0.811,0.044,0.144
N20003203,0.732,0.044,0.224
N20003204,0.887,0.008,0.105
N20003205,0.8,0.074,0.126
N20003206,0.608,0.188,0.205
N20003207,0.898,0.027,0.075
N20003208,0.856,0.014,0.13
N20003209,0.866,0.011,0.124
N20003210,0.902,0.03,0.067
N20003211,0.887,0.0,0.113
N20003212,0.76,0.057,0.183
N20003213,0.857,0.011,0.132
N20003214,0.888,0.003,0.108
N20003215,0.746,0.061,0.193
N20003216,0.931,0.0,0.069
N20003217,0.585,0.087,0.329
N20003218,0.761,0.057,0.182
N20003219,0.898,0.0,0.102
N20003220,0.552,0.186,0.262
N20003221,0.691,0.101,0.208
N20003222,0.901,0.0,0.099
N20003223,0.814,0.006,0.18
N20003224,0.702,0.053,0.245
N20003225,0.923,0.0,0.077
N20003226,0.801,0.028,0.171
N20003227,0.841,0.004,0.155
N20003228,0.923,0.014,0.062
N20003229,0.932,0.0,0.068
N20003230,0.879,0.036,0.085
N20003231,0.809,0.043,0.149
N20003232,0.903,0.008,0.089
N20003233,0.856,0.005,0.138
N20003234,0.897,0.0,0.103
N20003235,0.863,0.0,0.137
N20003236,0.79,0.0,0.21
N20003237,0.95,0.0,0.05
N20003238,0.682,0.172,0.146
N20003239,0.709,0.077,0.214
N20003240,0.902,0.004,0.094
N20003241,0.632,0.099,0.269
N20003242,0.513,0.095,0.392
N20003243,0.626,0.042,0.332
N20003244,0.556,0.218,0.227
N20003245,0.222,0.701,0.077
N20003246,0.508,0.141,0.351
N20003247,0.842,0.0,0.158
N20003248,0.449,0.327,0.224
N20003249,0.423,0.299,0.277
N20003250,0.707,0.068,0.225
N20003251,0.286,0.579,0.135
N20003252,0.683,0.054,0.263
N20003253,0.634,0.052,0.315
N20003254,0.481,0.184,0.335
N20003255,0.372,0.041,0.587
N20003256,0.824,0.021,0.154
N20003257,0.87,0.008,0.123
N20003258,0.715,0.188,0.097
N20003259,0.784,0.005,0.211
N20003260,0.685,0.112,0.203
N20003261,0.876,0.009,0.115
N20003262,0.621,0.06,0.319
N20003263,0.191,0.725,0.083
N20003264,0.893,0.012,0.095
N20003265,0.356,0.406,0.238
N20003266,0.583,0.076,0.342
N20003267,0.394,0.306,0.3
N20003268,0.808,0.004,0.188
N20003269,0.418,0.323,0.259
N20003270,0.887,0.017,0.096
N20003271,0.502,0.084,0.414
N20003272,0.863,0.009,0.127
N20003273,0.775,0.032,0.193
N20003274,0.797,0.0,0.203
N20003275,0.896,0.006,0.098
N20003276,0.835,0.005,0.16
N20003277,0.862,0.0,0.138
N20003278,0.355,0.351,0.294
N20003279,0.586,0.173,0.241
N20003280,0.921,0.0,0.079
N20003281,0.826,0.022,0.152
N20003282,0.836,0.004,0.16
N20003283,0.774,0.056,0.169
